1	1:-45	2:-47	3:-56	4:-72	5:-77	6:-82	7:-85	8:-83
4	1:-50	2:-46	3:-49	4:-56	5:-61	6:-74	7:-86	8:0
4	1:-55	2:-45	3:-54	4:-58	5:-87	6:-84	7:-79	8:-82
1	1:-63	2:-54	3:-62	4:-67	5:-80	6:-85	7:-83	8:-88
1	1:-52	2:-51	3:-58	4:-66	5:-81	6:-81	7:-83	8:-90
4	1:-70	2:-48	3:-57	4:-58	5:-78	6:-81	7:-83	8:-82
1	1:-62	2:-44	3:-89	4:-63	5:-81	6:-74	7:-87	8:-88
4	1:-47	2:-45	3:-49	4:-63	5:-65	6:-79	7:-77	8:-85
4	1:-50	2:-52	3:-48	4:-60	5:-69	6:-80	7:-74	8:-81
4	1:-51	2:-48	3:-51	4:-62	5:-65	6:-79	7:-84	8:-86
4	1:-59	2:-50	3:-63	4:-58	5:-69	6:-81	7:-86	8:-85
4	1:-57	2:-54	3:-59	4:-62	5:-77	6:-85	7:-85	8:-84
1	1:-45	2:-47	3:-54	4:-66	5:-68	6:-71	7:-74	8:-77
4	1:-63	2:-50	3:-63	4:-65	5:-73	6:-85	7:-82	8:-88
4	1:-52	2:-52	3:-60	4:-51	5:-61	6:-76	7:-78	8:-83
1	1:-43	2:-40	3:-56	4:-68	5:-87	6:-80	7:-85	8:0
1	1:-47	2:-45	3:-53	4:-68	5:-81	6:-78	7:-83	8:-82
4	1:-62	2:-52	3:-47	4:-59	5:-68	6:-77	7:-85	8:-83
4	1:-52	2:-49	3:-48	4:-52	5:-77	6:-82	7:-85	8:-84
4	1:-50	2:-45	3:-49	4:-74	5:-65	6:-65	7:-81	8:-72
1	1:-50	2:-56	3:-55	4:-69	5:-77	6:-76	7:-79	8:-90
1	1:-66	2:-59	3:-49	4:-89	5:-75	6:-84	7:-85	8:0
4	1:-54	2:-55	3:-63	4:-61	5:-68	6:-81	7:-79	8:-85
4	1:-52	2:-47	3:-58	4:-61	5:-68	6:-74	7:-73	8:-81
1	1:-50	2:-82	3:-49	4:-66	5:-77	6:-85	7:-86	8:0
1	1:-49	2:-49	3:-53	4:-67	5:-78	6:-79	7:-82	8:0
4	1:-54	2:-55	3:-58	4:-60	5:-73	6:-83	7:-77	8:-83
1	1:-58	2:-40	3:-53	4:-68	5:-78	6:-77	7:-84	8:0
4	1:-60	2:-55	3:-48	4:-60	5:-70	6:-80	7:-86	8:-91
1	1:-45	2:-37	3:-64	4:-66	5:-85	6:-73	7:-91	8:0
4	1:-52	2:-47	3:-55	4:-54	5:-72	6:-80	7:-75	8:0
4	1:-54	2:-53	3:-62	4:-48	5:-72	6:-77	7:-73	8:0
4	1:-71	2:-44	3:-85	4:-63	5:-67	6:-84	7:-78	8:-79
1	1:-43	2:-44	3:-49	4:-64	5:-71	6:-73	7:-87	8:0
1	1:-62	2:-50	3:-58	4:-67	5:-79	6:-79	7:-83	8:-90
1	1:-52	2:-48	3:-52	4:-75	5:-71	6:-81	7:-86	8:-79
1	1:-53	2:-41	3:-53	4:-60	5:-73	6:-75	7:-77	8:-87
1	1:-40	2:-47	3:-50	4:-56	5:-65	6:-74	7:-76	8:0
1	1:-62	2:-51	3:-49	4:-71	5:-83	6:-79	7:-87	8:-85
4	1:-58	2:-52	3:-63	4:-66	5:-70	6:-80	7:-82	8:-83
1	1:-59	2:-52	3:-54	4:-70	5:-83	6:-83	7:-83	8:-80
1	1:-48	2:-50	3:-52	4:-68	5:-80	6:-82	7:-80	8:0
4	1:-62	2:-49	3:-62	4:-64	5:-79	6:-87	7:-77	8:0
4	1:-65	2:-48	3:-63	4:-54	5:-76	6:-82	7:-81	8:0
2	1:-59	2:-54	3:-63	4:-65	5:-81	6:-80	7:-75	8:-85
